iter	Passed	Remaining
0	174	34631
1	360	35695
2	513	33716
3	640	31404
4	782	30500
5	933	30187
6	981	27074
7	1132	27179
8	1276	27096
9	1429	27159
10	1592	27368
11	1761	27593
12	1922	27656
13	2093	27812
14	2236	27587
15	2336	26866
16	2517	27096
17	2677	27069
18	2875	27393
19	3034	27307
20	3208	27347
21	3392	27451
22	3599	27698
23	3811	27954
24	4031	28219
25	4182	27989
26	4315	27649
27	4447	27317
28	4574	26975
29	4707	26675
30	4825	26307
31	4954	26013
32	5135	25990
33	5321	25979
34	5571	26265
35	5748	26187
36	5986	26372
37	6174	26323
38	6329	26128
39	6479	25916
40	6630	25711
41	6780	25509
42	6911	25234
43	7096	25161
44	7297	25137
45	7447	24933
46	7628	24832
47	7868	24918
48	8039	24773
49	8157	24472
50	8372	24462
51	8576	24411
52	8783	24363
53	8956	24215
54	9101	23995
55	9313	23949
56	9455	23722
57	9791	23972
58	10199	24374
59	10399	24266
60	10598	24150
61	10764	23960
62	10892	23686
63	11009	23395
64	11130	23116
65	11277	22895
66	11461	22752
67	11597	22512
68	11792	22388
69	11953	22200
70	12226	22215
71	12380	22009
72	12523	21787
73	12631	21508
74	12746	21243
75	12895	21040
76	13027	20810
77	13156	20578
78	13296	20364
79	13495	20242
80	13787	20255
81	13982	20121
82	14162	19964
83	14319	19774
84	14498	19616
85	14609	19366
86	14736	19140
87	14840	18887
88	14987	18692
89	15100	18456
90	15252	18269
91	15406	18085
92	15587	17934
93	15793	17809
94	15966	17646
95	16065	17404
96	16208	17211
97	16359	17027
98	16478	16811
99	16624	16624
100	16929	16594
101	17105	16435
102	17263	16257
103	17475	16131
104	17673	15990
105	17869	15846
106	18014	15657
107	18135	15448
108	18238	15226
109	18341	15007
110	18455	14797
111	18558	14581
112	18666	14371
113	18776	14164
114	18904	13973
115	19083	13818
116	19259	13662
117	19431	13502
118	19605	13345
119	19738	13159
120	19870	12973
121	20019	12799
122	20124	12598
123	20236	12403
124	20357	12214
125	20458	12015
126	20572	11825
127	20736	11664
128	20888	11496
129	21131	11378
130	21329	11234
131	21482	11066
132	21621	10891
133	21746	10711
134	21884	10536
135	22027	10365
136	22142	10182
137	22279	10009
138	22415	9836
139	22580	9677
140	22724	9508
141	22931	9366
142	23116	9214
143	23257	9044
144	23379	8867
145	23486	8686
146	23602	8509
147	23695	8325
148	23819	8153
149	23921	7973
150	24060	7807
151	24235	7653
152	24356	7482
153	24510	7321
154	24683	7166
155	24872	7015
156	25035	6856
157	25175	6692
158	25286	6520
159	25381	6345
160	25494	6175
161	25592	6003
162	25726	5839
163	25841	5672
164	25981	5511
165	26118	5349
166	26281	5193
167	26458	5039
168	26622	4883
169	26787	4727
170	26969	4573
171	27233	4433
172	27361	4270
173	27468	4104
174	27570	3938
175	27693	3776
176	27849	3618
177	27985	3458
178	28215	3310
179	28382	3153
180	28524	2994
181	28673	2835
182	28811	2676
183	28949	2517
184	29072	2357
185	29175	2196
186	29274	2035
187	29391	1876
188	29557	1720
189	29675	1561
190	29820	1405
191	29991	1249
192	30170	1094
193	30287	936
194	30426	780
195	30514	622
196	30597	465
197	30673	309
198	30748	154
199	30828	0
0
