age,workclass,education,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,income
56,Private,Bachelors,Married,Other-service,Own-child,Amer-Indian-Eskimo,Male,35,India,67887
46,Private,Masters,Single,Exec-managerial,Wife,Amer-Indian-Eskimo,Female,36,Mexico,48198
32,Government,Some-college,Single,Tech-support,Not-in-family,Asian-Pac-Islander,Male,59,Philippines,47263
60,Government,Bachelors,Divorced,Tech-support,Not-in-family,Black,Female,47,Mexico,42730
25,Private,HS-grad,Single,Sales,Own-child,Asian-Pac-Islander,Male,31,Germany,55146
38,Unemployed,PhD,Divorced,Tech-support,Unmarried,Asian-Pac-Islander,Female,46,United-States,54626
56,Government,Bachelors,Married,Other-service,Own-child,White,Male,49,Philippines,40005
36,Private,Bachelors,Divorced,Other-service,Wife,Other,Male,53,Philippines,47334
40,Private,Masters,Married,Tech-support,Own-child,Amer-Indian-Eskimo,Female,56,Germany,40105
28,Unemployed,Some-college,Divorced,Tech-support,Husband,Black,Male,25,Mexico,39426
28,Self-emp,PhD,Widowed,Sales,Wife,Amer-Indian-Eskimo,Male,26,United-States,24051
41,Government,HS-grad,Widowed,Tech-support,Wife,Amer-Indian-Eskimo,Female,51,Mexico,46536
53,Unemployed,PhD,Single,Sales,Unmarried,Other,Male,51,India,24466
57,Private,HS-grad,Divorced,Sales,Not-in-family,Amer-Indian-Eskimo,Female,44,Mexico,43057
41,Private,Some-college,Divorced,Tech-support,Wife,Amer-Indian-Eskimo,Male,52,Philippines,40809
20,Unemployed,HS-grad,Married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,26,United-States,65778
39,Government,Masters,Single,Craft-repair,Own-child,Other,Male,31,Mexico,34775
19,Self-emp,Masters,Divorced,Sales,Husband,White,Male,35,United-States,38582
41,Self-emp,Masters,Single,Tech-support,Unmarried,Black,Female,35,United-States,44277
61,Private,Masters,Widowed,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,55,India,41297
47,Government,PhD,Divorced,Tech-support,Wife,Black,Female,32,India,70538
55,Self-emp,Some-college,Divorced,Tech-support,Not-in-family,White,Male,26,Philippines,32921
19,Government,HS-grad,Single,Tech-support,Wife,Black,Male,55,Germany,44308
38,Government,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,28,United-States,54980
50,Private,Masters,Single,Tech-support,Wife,Asian-Pac-Islander,Male,51,Germany,63217
29,Self-emp,Masters,Divorced,Exec-managerial,Own-child,Amer-Indian-Eskimo,Female,30,Philippines,44296
39,Unemployed,Bachelors,Married,Sales,Wife,White,Female,27,United-States,21228
61,Private,Some-college,Single,Craft-repair,Wife,Black,Female,52,United-States,47748
42,Self-emp,PhD,Divorced,Craft-repair,Husband,Amer-Indian-Eskimo,Female,42,Germany,70280
44,Self-emp,HS-grad,Widowed,Craft-repair,Wife,Asian-Pac-Islander,Male,44,Mexico,54232
59,Self-emp,Bachelors,Divorced,Craft-repair,Husband,Amer-Indian-Eskimo,Female,27,India,53546
45,Self-emp,Bachelors,Widowed,Craft-repair,Unmarried,White,Female,41,Mexico,34054
