Age,Income,Credit_Score,Loan_Amount,Loan_Term,Employment_Status,Existing_EMI,Num_Credit_Cards,Late_Payments,Collateral_Available,Loan_Purpose,DTI_Ratio,Approved
59,77761,466,987635,12,Salaried,48449,0,3,Yes,Home,0.6230501150962565,0
49,56368,501,406898,24,Self-employed,5543,1,1,No,Education,0.09833593528242975,0
35,157855,445,388113,24,Self-employed,21067,6,2,No,Home,0.13345792024326122,0
28,61914,738,720398,60,Self-employed,45256,0,2,Yes,Education,0.7309493814000064,0
41,147738,541,799078,60,Salaried,25097,0,4,No,Personal,0.1698750490733596,0
59,87526,782,389208,24,Self-employed,42847,0,4,No,Home,0.4895345383086169,0
39,196837,407,71281,60,Self-employed,43512,7,1,Yes,Auto,0.22105600065028425,0
43,39956,525,104189,24,Self-employed,3809,3,0,No,Personal,0.09532986284913404,0
31,66240,731,312093,12,Salaried,22191,3,3,Yes,Home,0.3350090579710145,0
31,141008,718,360655,24,Self-employed,21267,1,0,Yes,Home,0.15082123000113468,1
44,188220,754,696403,24,Salaried,7206,0,1,No,Education,0.03828498565508447,0
56,114270,459,582893,36,Salaried,21057,9,1,Yes,Personal,0.18427408768705697,0
44,24757,822,412462,24,Self-employed,28992,8,0,Yes,Personal,1.1710627297330047,0
23,39097,376,444597,24,Salaried,46514,6,3,Yes,Personal,1.1897076502033404,0
42,161467,808,856242,36,Self-employed,15995,3,0,No,Personal,0.09906048914019583,1
22,167313,740,299415,60,Salaried,48803,5,4,No,Education,0.2916868384405276,0
44,123892,553,729682,36,Self-employed,44439,1,2,No,Auto,0.358691440932425,0
50,178768,619,91869,12,Self-employed,13210,6,4,Yes,Personal,0.07389465676183657,0
58,90480,562,607243,36,Self-employed,17793,1,2,Yes,Education,0.19665119363395225,0
22,66163,673,635676,12,Salaried,26270,9,1,No,Auto,0.3970497105633058,0
41,39816,466,815612,60,Self-employed,5197,7,3,No,Auto,0.130525416917822,0
53,72853,758,60207,36,Salaried,48321,7,0,Yes,Education,0.6632671269542778,0
32,175989,579,268401,36,Self-employed,7452,0,3,No,Personal,0.04234355556313179,0
42,116731,601,209292,60,Salaried,41486,7,0,No,Auto,0.35539830893250296,0
45,172638,830,527266,12,Salaried,14859,1,4,No,Personal,0.08607027421541028,0
47,82823,517,546762,36,Self-employed,27236,5,4,No,Personal,0.3288458519976335,0
48,171878,401,255157,12,Self-employed,31899,0,0,No,Home,0.1855909424126415,0
36,21759,587,72031,36,Self-employed,32083,4,3,Yes,Personal,1.4744703341146193,0
35,193021,466,513937,24,Self-employed,2172,6,0,No,Home,0.01125266162749131,0
23,112374,335,917239,36,Self-employed,45926,9,1,No,Auto,0.40868884261483973,0
57,153554,652,645600,60,Salaried,16663,0,4,Yes,Education,0.1085155710694609,0
27,44442,372,634054,60,Self-employed,27540,1,1,Yes,Home,0.6196840826245443,0
41,184791,652,193521,12,Self-employed,19053,6,4,Yes,Education,0.1031056707307174,0
29,113501,369,401977,36,Salaried,11085,5,4,Yes,Auto,0.09766433775913869,0
59,22079,724,237771,12,Self-employed,30564,2,2,No,Personal,1.3843018252638253,0
